country,cluster_id,year.x,year.y,lat,lon,lsms_id.x,lsms_id.y,diff_of_index,index_of_diff,asset_index.x,asset_index.y,n
et,01040500701,2011,2015,12.7826268158,39.3068867968,et_01040500701_2011,et_01040500701_2015,0.01651630641026186,0.32673725722910985,-2.1337906729302607,-2.117274366519999,4
et,01040800402,2011,2015,12.6209662316,39.4244520175,et_01040800402_2011,et_01040800402_2015,0.7190932668198802,0.25066320831285793,-2.3906507537719297,-1.6715574869520498,4
et,01050100105,2011,2015,14.1819914938,36.4799930893,et_01050100105_2011,et_01050100105_2015,0.3431255059214717,0.26518642366920087,-1.2044491727424613,-0.8613236668209897,5
et,01050200201,2011,2015,14.0872350664,37.5015263838,et_01050200201_2011,et_01050200201_2015,0.07288392995776036,-0.75789512296251,-1.8535734951356644,-1.780689565177904,4
et,01050200712,2011,2015,13.6709932967,37.4064256501,et_01050200712_2011,et_01050200712_2015,-0.22414426202314766,-0.055829969556654147,-0.748501594613292,-0.9726458566364398,4
et,01050201503,2011,2015,13.731570436,37.3672533162,et_01050201503_2011,et_01050201503_2015,0.815040702752066,0.3119150599669656,-2.281271487673762,-1.4662307849216962,5
et,01050301501,2011,2015,13.4774390358,37.121337842,et_01050301501_2011,et_01050301501_2015,1.1810775527163873,1.0168207284002782,-1.991972989349788,-0.8108954366334005,4
et,01050302304,2011,2015,13.5160575022,37.6273155648,et_01050302304_2011,et_01050302304_2015,1.4075587259546212,0.14602057052465614,-2.291993644809501,-0.8844349188548799,3
et,02010300102,2011,2015,11.6895323459,41.3481202391,et_02010300102_2011,et_02010300102_2015,-0.012245279536971677,-0.3638824057286284,-1.975708848389617,-1.9879541279265887,5
et,02010400201,2011,2015,11.5223288693,41.5692958857,et_02010400201_2011,et_02010400201_2015,0.13789884664953517,-0.780802223380602,-2.0912832347366708,-1.9533843880871355,5
et,02010500404,2011,2015,11.6284538153,40.8825663765,et_02010500404_2011,et_02010500404_2015,0.7807649674826623,0.7923954668597073,-1.927699794464482,-1.1469348269818198,6
et,02010501103,2011,2015,11.2140035523,40.2055920948,et_02010501103_2011,et_02010501103_2015,1.1035971238559343,-0.019441227349020828,-2.265644243542525,-1.1620471196865902,5
et,02030200102,2011,2015,9.24924684111,40.0598560794,et_02030200102_2011,et_02030200102_2015,0.16139255470330244,0.15180219023741215,-2.561971090208886,-2.4005785355055833,4
et,02030400601,2011,2015,9.51787068443,40.1647901335,et_02030400601_2011,et_02030400601_2015,0.8067631463956737,0.5721939096881439,-1.975708848389617,-1.1689457019939433,5
et,02030600601,2011,2015,9.67897313862,39.913593504,et_02030600601_2011,et_02030600601_2015,-0.23081934544025665,-0.188068446883291,-2.0468445016117944,-2.277663847052051,10
et,03010100204,2011,2015,13.3722274393,37.7898736298,et_03010100204_2011,et_03010100204_2015,-0.2995896227061606,0.24870573010727043,-2.15702417020983,-2.4566137929159906,4
et,03010400901,2011,2015,13.2058110304,37.7876552215,et_03010400901_2011,et_03010400901_2015,-0.06945441836105622,-0.09904996175900843,-2.5774472563285844,-2.6469016746896408,3
et,03010800701,2011,2015,12.805251571,37.4183801156,et_03010800701_2011,et_03010800701_2015,0.7024115156142752,1.0493768495287898,-1.4712222067242913,-0.768810691110016,5
et,03011100102,2011,2015,12.556392241,37.3118585142,et_03011100102_2011,et_03011100102_2015,-0.2807049497276555,0.6218016046134692,-0.35016058050677024,-0.6308655302344257,4
et,03011200203,2011,2015,12.8017155321,36.93031443,et_03011200203_2011,et_03011200203_2015,0.05325775925441496,0.06501986651530169,-2.5948108609188485,-2.5415531016644337,5
et,03011400816,2011,2015,12.3910703535,35.9335894324,et_03011400816_2011,et_03011400816_2015,0.6884557601708681,0.2198289566135363,-1.833591404679224,-1.145135644508356,4
et,03011602804,2011,2015,12.3059878852,37.8380133833,et_03011602804_2011,et_03011602804_2015,-0.14454235136756877,-0.06535305080793448,-2.177620169594401,-2.3221625209619696,3
et,03012000105,2011,2015,12.9196896354,37.032969423,et_03012000105_2011,et_03012000105_2015,0.7833080462294715,0.6715233794306317,-1.2426174014229159,-0.4593093551934444,5
et,03020100703,2011,2015,12.3562967332,38.4524416164,et_03020100703_2011,et_03020100703_2015,-0.12489135245694227,0.03382375347144888,-2.4699195084619063,-2.5948108609188485,4
et,03020202508,2011,2015,12.0498233904,37.8003237608,et_03020202508_2011,et_03020202508_2015,0.46930041637220843,0.35223970293957135,-2.2615942652219347,-1.7922938488497264,5
et,03020400906,2011,2015,11.8176445144,38.1602257763,et_03020400906_2011,et_03020400906_2015,2.8301210321723946e-4,0.09175559262176419,-2.390933765875147,-2.3906507537719297,4
et,03020501907,2011,2015,11.6454398842,38.4188571016,et_03020501907_2011,et_03020501907_2015,0.4431816769314671,0.2947312743995326,-2.27425269074828,-1.831071013816813,3
et,03020703703,2011,2015,11.2385732357,38.311340877,et_03020703703_2011,et_03020703703_2015,0.2639127638779271,0.15928195021760705,-2.5072381390256147,-2.2433253751476876,3
et,03020900708,2011,2015,11.6890721348,37.6074550557,et_03020900708_2011,et_03020900708_2015,-0.11480898647064504,0.08341101883053802,-2.3486427916083525,-2.4634517780789977,3
et,03030200108,2011,2015,12.0062359062,39.6076476069,et_03030200108_2011,et_03030200108_2015,-0.33696390074635063,0.7924507078635196,-0.24311627016579912,-0.5800801709121498,4
et,03030202104,2011,2015,11.991803995,39.7800216474,et_03030202104_2011,et_03030202104_2015,-0.40082525325259677,-0.03072879255218921,-1.3742055143038825,-1.7750307675564794,5
et,03030501101,2011,2015,11.6549185473,39.0357534985,et_03030501101_2011,et_03030501101_2015,-0.868939433144329,-1.23820115719946,-1.4914088109866703,-2.360348244130999,5
et,03030701002,2011,2015,11.9048460332,39.4494717129,et_03030701002_2011,et_03030701002_2015,1.112110306088173,0.9928859597959466,-1.2211925530181287,-0.10908224692995569,5
et,03040901203,2011,2015,11.0874300942,39.7843913054,et_03040901203_2011,et_03040901203_2015,0.8450459664575154,0.11528901341836997,-1.249726811142291,-0.4046808446847756,4
et,03041200105,2011,2015,10.7561984007,38.7696742804,et_03041200105_2011,et_03041200105_2015,0.5086952080952175,0.25842212724597846,0.1194477007194678,0.6281429088146853,3
et,03041402101,2011,2015,10.5685626516,39.2356643786,et_03041402101_2011,et_03041402101_2015,0.4568722436440168,-0.29902440399530117,-2.3424410638518003,-1.8855688202077834,5
et,03041600204,2011,2015,10.5792188385,38.6062533111,et_03041600204_2011,et_03041600204_2015,-0.03953778443605662,-0.09918089973466723,-2.2682668265590022,-2.307804610995059,5
et,03050101504,2011,2015,10.1771510236,38.9727796823,et_03050101504_2011,et_03050101504_2015,0.4287077768990258,0.13679910347797758,-1.7001966848298324,-1.271488907930807,6
et,03050400305,2011,2015,10.0245110384,39.2131652933,et_03050400305_2011,et_03050400305_2015,0.3454112809000386,-0.030244358438975657,-2.2453326885028466,-1.8999214076028081,4
et,03050900104,2011,2015,10.1249269842,39.6713085476,et_03050900104_2011,et_03050900104_2015,0.7522458393131166,0.5822632067259434,-0.45083767439540284,0.3014081649177137,4
et,03051100307,2011,2015,9.89048905403,39.4845296,et_03051100307_2011,et_03051100307_2015,0.5177427495200478,0.29837016728555216,-0.8998452118062295,-0.38210246228618155,4
et,03051300702,2011,2015,9.55408199803,39.5793387065,et_03051300702_2011,et_03051300702_2015,-0.10033233325367583,0.3355928008149503,-1.9043798618146748,-2.0047121950683504,4
et,03052100808,2011,2015,10.1255685035,39.3173063282,et_03052100808_2011,et_03052100808_2015,0.3230023360214221,0.3112059794068394,-2.379076197574793,-2.056073861553371,7
et,03060202603,2011,2015,10.9070459818,38.0365174999,et_03060202603_2011,et_03060202603_2015,0.2737513489984003,0.466411973767046,-2.2469081375161992,-1.973156788517799,9
et,03060402001,2011,2015,10.9551945389,38.2846965084,et_03060402001_2011,et_03060402001_2015,0.0351589799298618,0.7146431674158283,-1.8797937047570032,-1.8446347248271415,3
et,03060901807,2011,2015,10.4216173585,37.5765488785,et_03060901807_2011,et_03060901807_2015,0.6321066736439914,0.3993689260282571,-0.9045821959435472,-0.27247552229955574,5
et,03061102207,2011,2015,9.99190626942,37.6925527139,et_03061102207_2011,et_03061102207_2015,0.22625536515628808,0.6559631878295891,-2.4853449585523064,-2.259089593396018,6
et,03061400105,2011,2015,10.4376029071,38.3184384011,et_03061400105_2011,et_03061400105_2015,0.4409966414794023,0.4848489607424913,-0.6824377985178454,-0.2414411570384431,6
et,03061601207,2011,2015,10.5794319268,37.798498412,et_03061601207_2011,et_03061601207_2015,0.5051445031948492,0.28575917065040785,-2.4634517780789977,-1.9583072748841486,9
et,03070101406,2011,2015,11.6514708203,37.1032812474,et_03070101406_2011,et_03070101406_2015,0.16182255489835345,0.6491963225108939,-2.500982944604669,-2.339160389706316,7
et,03070300105,2011,2015,11.3744751246,37.4523245003,et_03070300105_2011,et_03070300105_2015,0.2648108514586369,0.4325317278702781,-2.577258581593106,-2.312447730134469,6
et,03070401302,2011,2015,11.3962743181,37.042616257,et_03070401302_2011,et_03070401302_2015,0.35019902815387305,-0.11085826245628742,-1.646197064428966,-1.2959980362750931,4
